,ds,y
0,2013-06-01,8722
1,2013-06-02,15971
2,2013-06-03,7598
3,2013-06-04,15782
4,2013-06-05,15690
5,2013-06-06,12420
6,2013-06-07,1226
7,2013-06-08,18007
8,2013-06-09,21034
9,2013-06-10,3897
10,2013-06-11,12596
11,2013-06-12,16795
12,2013-06-13,8016
13,2013-06-14,14942
14,2013-06-15,25178
15,2013-06-16,21966
16,2013-06-17,19659
17,2013-06-18,13724
18,2013-06-19,24142
19,2013-06-20,26603
20,2013-06-21,27997
21,2013-06-22,29281
22,2013-06-23,28065
23,2013-06-24,24251
24,2013-06-25,27827
25,2013-06-26,29499
26,2013-06-27,24334
27,2013-06-28,27818
28,2013-06-29,29753
29,2013-06-30,24909
30,2013-07-01,16651
31,2013-07-02,22745
32,2013-07-03,21864
33,2013-07-04,22326
34,2013-07-05,21842
35,2013-07-06,20467
36,2013-07-07,20477
37,2013-07-08,21615
38,2013-07-09,26641
39,2013-07-10,25732
40,2013-07-11,24417
41,2013-07-12,19006
42,2013-07-13,26119
43,2013-07-14,29287
44,2013-07-15,28069
45,2013-07-16,29842
46,2013-07-17,30550
47,2013-07-18,28869
48,2013-07-19,26591
49,2013-07-20,25278
50,2013-07-21,30297
51,2013-07-22,25979
52,2013-07-23,32376
53,2013-07-24,35271
54,2013-07-25,31084
55,2013-07-26,34534
56,2013-07-27,32470
57,2013-07-28,23508
58,2013-07-29,34915
59,2013-07-30,37334
60,2013-07-31,37261
61,2013-08-01,20138
62,2013-08-02,35792
63,2013-08-03,29540
64,2013-08-04,35253
65,2013-08-05,36776
66,2013-08-06,37702
67,2013-08-07,34396
68,2013-08-08,28366
69,2013-08-09,29017
70,2013-08-10,37201
71,2013-08-11,33060
72,2013-08-12,31457
73,2013-08-13,22437
74,2013-08-14,38150
75,2013-08-15,37386
76,2013-08-16,35991
77,2013-08-17,37285
78,2013-08-18,27612
79,2013-08-19,33127
80,2013-08-20,35843
81,2013-08-21,36315
82,2013-08-22,26629
83,2013-08-23,33503
84,2013-08-24,32941
85,2013-08-25,31755
86,2013-08-26,29979
87,2013-08-27,34208
88,2013-08-28,28185
89,2013-08-29,34215
90,2013-08-30,32318
91,2013-08-31,25381
92,2013-09-01,25235
93,2013-09-02,21416
94,2013-09-03,32411
95,2013-09-04,36798
96,2013-09-05,35825
97,2013-09-06,35868
98,2013-09-07,34419
99,2013-09-08,33196
100,2013-09-09,35394
101,2013-09-10,36954
102,2013-09-11,35812
103,2013-09-12,31252
104,2013-09-13,36501
105,2013-09-14,31607
106,2013-09-15,31914
107,2013-09-16,31287
108,2013-09-17,38283
109,2013-09-18,37957
110,2013-09-19,39200
111,2013-09-20,39382
